time (UTC),latitude (degrees_north),BEUTI (mmol m-1 s-1)
2006-01-15T00:00:00Z,31.0,1.441
2006-01-15T00:00:00Z,32.0,0.647
2006-01-15T00:00:00Z,33.0,1.138
2006-01-15T00:00:00Z,34.0,3.415
2006-01-15T00:00:00Z,35.0,4.451
2006-01-15T00:00:00Z,36.0,3.481
2006-01-15T00:00:00Z,37.0,1.656
2006-01-15T00:00:00Z,38.0,0.305
2006-01-15T00:00:00Z,39.0,0.436
2006-01-15T00:00:00Z,40.0,-1.357
2006-01-15T00:00:00Z,41.0,-4.652
2006-01-15T00:00:00Z,42.0,-1.874
2006-01-15T00:00:00Z,43.0,-4.105
2006-01-15T00:00:00Z,44.0,-1.18
2006-01-15T00:00:00Z,45.0,-1.918
2006-01-15T00:00:00Z,46.0,-0.67
2006-01-15T00:00:00Z,47.0,-6.043
2006-02-15T00:00:00Z,31.0,1.392
2006-02-15T00:00:00Z,32.0,0.254
2006-02-15T00:00:00Z,33.0,0.86
2006-02-15T00:00:00Z,34.0,2.717
2006-02-15T00:00:00Z,35.0,3.843
2006-02-15T00:00:00Z,36.0,6.094
2006-02-15T00:00:00Z,37.0,4.544
2006-02-15T00:00:00Z,38.0,4.99
2006-02-15T00:00:00Z,39.0,7.256
2006-02-15T00:00:00Z,40.0,5.062
2006-02-15T00:00:00Z,41.0,1.887
2006-02-15T00:00:00Z,42.0,4.097
2006-02-15T00:00:00Z,43.0,2.625
2006-02-15T00:00:00Z,44.0,-0.612
2006-02-15T00:00:00Z,45.0,0.474
2006-02-15T00:00:00Z,46.0,-1.6
2006-02-15T00:00:00Z,47.0,1.249
2006-03-15T00:00:00Z,31.0,2.696
2006-03-15T00:00:00Z,32.0,2.293
2006-03-15T00:00:00Z,33.0,3.719
2006-03-15T00:00:00Z,34.0,4.951
2006-03-15T00:00:00Z,35.0,6.756
2006-03-15T00:00:00Z,36.0,8.114
2006-03-15T00:00:00Z,37.0,4.743
2006-03-15T00:00:00Z,38.0,5.287
2006-03-15T00:00:00Z,39.0,3.812
2006-03-15T00:00:00Z,40.0,-3.856
2006-03-15T00:00:00Z,41.0,-6.744
2006-03-15T00:00:00Z,42.0,0.259
2006-03-15T00:00:00Z,43.0,-4.297
2006-03-15T00:00:00Z,44.0,-4.231
2006-03-15T00:00:00Z,45.0,-6.512
2006-03-15T00:00:00Z,46.0,-1.262
2006-03-15T00:00:00Z,47.0,-10.46
2006-04-15T00:00:00Z,31.0,1.441
2006-04-15T00:00:00Z,32.0,0.481
2006-04-15T00:00:00Z,33.0,0.582
2006-04-15T00:00:00Z,34.0,2.479
2006-04-15T00:00:00Z,35.0,4.207
2006-04-15T00:00:00Z,36.0,3.838
2006-04-15T00:00:00Z,37.0,4.337
2006-04-15T00:00:00Z,38.0,9.04
2006-04-15T00:00:00Z,39.0,16.844
2006-04-15T00:00:00Z,40.0,17.695
2006-04-15T00:00:00Z,41.0,9.701
2006-04-15T00:00:00Z,42.0,14.395
2006-04-15T00:00:00Z,43.0,6.668
2006-04-15T00:00:00Z,44.0,0.438
2006-04-15T00:00:00Z,45.0,2.45
2006-04-15T00:00:00Z,46.0,1.457
2006-04-15T00:00:00Z,47.0,0.853
2006-05-15T00:00:00Z,31.0,0.368
2006-05-15T00:00:00Z,32.0,0.553
2006-05-15T00:00:00Z,33.0,0.559
2006-05-15T00:00:00Z,34.0,5.222
2006-05-15T00:00:00Z,35.0,11.187
2006-05-15T00:00:00Z,36.0,12.468
2006-05-15T00:00:00Z,37.0,14.215
2006-05-15T00:00:00Z,38.0,14.28
2006-05-15T00:00:00Z,39.0,26.808
2006-05-15T00:00:00Z,40.0,27.575
2006-05-15T00:00:00Z,41.0,18.469
2006-05-15T00:00:00Z,42.0,19.418
2006-05-15T00:00:00Z,43.0,15.799
2006-05-15T00:00:00Z,44.0,2.031
2006-05-15T00:00:00Z,45.0,5.747
2006-05-15T00:00:00Z,46.0,2.508
2006-05-15T00:00:00Z,47.0,3.908
2006-06-15T00:00:00Z,31.0,0.55
2006-06-15T00:00:00Z,32.0,0.246
2006-06-15T00:00:00Z,33.0,0.124
2006-06-15T00:00:00Z,34.0,2.605
2006-06-15T00:00:00Z,35.0,7.602
2006-06-15T00:00:00Z,36.0,8.129
2006-06-15T00:00:00Z,37.0,9.297
2006-06-15T00:00:00Z,38.0,10.19
2006-06-15T00:00:00Z,39.0,20.094
2006-06-15T00:00:00Z,40.0,20.072
2006-06-15T00:00:00Z,41.0,16.942
2006-06-15T00:00:00Z,42.0,16.62
2006-06-15T00:00:00Z,43.0,8.338
2006-06-15T00:00:00Z,44.0,2.915
2006-06-15T00:00:00Z,45.0,1.689
2006-06-15T00:00:00Z,46.0,0.311
2006-06-15T00:00:00Z,47.0,0.257
2006-07-15T00:00:00Z,31.0,0.253
2006-07-15T00:00:00Z,32.0,0.067
2006-07-15T00:00:00Z,33.0,0.022
2006-07-15T00:00:00Z,34.0,1.502
2006-07-15T00:00:00Z,35.0,4.932
2006-07-15T00:00:00Z,36.0,5.651
2006-07-15T00:00:00Z,37.0,10.266
2006-07-15T00:00:00Z,38.0,8.11
2006-07-15T00:00:00Z,39.0,17.093
2006-07-15T00:00:00Z,40.0,17.653
2006-07-15T00:00:00Z,41.0,10.361
2006-07-15T00:00:00Z,42.0,13.315
2006-07-15T00:00:00Z,43.0,8.052
2006-07-15T00:00:00Z,44.0,2.663
2006-07-15T00:00:00Z,45.0,1.528
2006-07-15T00:00:00Z,46.0,0.521
2006-07-15T00:00:00Z,47.0,0.57
2006-08-15T00:00:00Z,31.0,0.464
2006-08-15T00:00:00Z,32.0,0.107
2006-08-15T00:00:00Z,33.0,0.005
2006-08-15T00:00:00Z,34.0,0.192
2006-08-15T00:00:00Z,35.0,0.522
2006-08-15T00:00:00Z,36.0,1.149
2006-08-15T00:00:00Z,37.0,2.419
2006-08-15T00:00:00Z,38.0,5.8
2006-08-15T00:00:00Z,39.0,17.761
2006-08-15T00:00:00Z,40.0,22.31
2006-08-15T00:00:00Z,41.0,19.851
2006-08-15T00:00:00Z,42.0,15.541
2006-08-15T00:00:00Z,43.0,14.005
2006-08-15T00:00:00Z,44.0,4.071
2006-08-15T00:00:00Z,45.0,3.156
2006-08-15T00:00:00Z,46.0,1.665
2006-08-15T00:00:00Z,47.0,1.598
2006-09-15T00:00:00Z,31.0,0.678
2006-09-15T00:00:00Z,32.0,0.138
2006-09-15T00:00:00Z,33.0,0.017
2006-09-15T00:00:00Z,34.0,0.321
2006-09-15T00:00:00Z,35.0,1.007
2006-09-15T00:00:00Z,36.0,1.942
2006-09-15T00:00:00Z,37.0,3.838
2006-09-15T00:00:00Z,38.0,7.382
2006-09-15T00:00:00Z,39.0,15.677
2006-09-15T00:00:00Z,40.0,13.892
2006-09-15T00:00:00Z,41.0,13.566
2006-09-15T00:00:00Z,42.0,8.814
2006-09-15T00:00:00Z,43.0,6.806
2006-09-15T00:00:00Z,44.0,1.973
2006-09-15T00:00:00Z,45.0,0.732
2006-09-15T00:00:00Z,46.0,0.401
2006-09-15T00:00:00Z,47.0,0.25
2006-10-15T00:00:00Z,31.0,0.328
2006-10-15T00:00:00Z,32.0,0.103
2006-10-15T00:00:00Z,33.0,0.014
2006-10-15T00:00:00Z,34.0,0.027
2006-10-15T00:00:00Z,35.0,0.07
2006-10-15T00:00:00Z,36.0,0.179
2006-10-15T00:00:00Z,37.0,0.501
2006-10-15T00:00:00Z,38.0,0.95
2006-10-15T00:00:00Z,39.0,2.139
2006-10-15T00:00:00Z,40.0,2.333
2006-10-15T00:00:00Z,41.0,3.364
2006-10-15T00:00:00Z,42.0,0.494
2006-10-15T00:00:00Z,43.0,0.998
2006-10-15T00:00:00Z,44.0,1.839
2006-10-15T00:00:00Z,45.0,1.135
2006-10-15T00:00:00Z,46.0,0.652
2006-10-15T00:00:00Z,47.0,0.675
2006-11-15T00:00:00Z,31.0,0.309
2006-11-15T00:00:00Z,32.0,0.103
2006-11-15T00:00:00Z,33.0,0.027
2006-11-15T00:00:00Z,34.0,0.098
2006-11-15T00:00:00Z,35.0,0.993
