bin,Zc_pres,perc_eff,Zc_pres_eff_adj
01-Jul-2007,300,0.258064516129032,1162.5
01-Aug-2007,524,1,524
01-Sep-2007,5,0.508773148148148,9.82756267346103
01-Oct-2007,0,0,NaN
01-Nov-2007,0,0,NaN
01-Dec-2007,0,0,NaN
01-Jan-2008,0,0,NaN
01-Feb-2008,0,0,NaN
01-Mar-2008,0,0,NaN
01-Apr-2008,0,0,NaN
01-May-2008,0,0,NaN
01-Jun-2008,459,0.866666666666667,529.615384615385
01-Jul-2008,162,0.911715949820789,177.686921054571
01-Aug-2008,157,0.887096774193548,176.981818181818
01-Sep-2008,114,0.887569444444444,128.440654095924
01-Oct-2008,199,0.354838709677419,560.818181818182
01-Nov-2008,458,1,458
01-Dec-2008,293,0.76785394265233,381.582985675526
01-Jan-2009,385,0.993525985663082,387.508737119794
01-Feb-2009,363,1,363
01-Mar-2009,565,0.81135752688172,696.363786962644
01-Apr-2009,811,1,811
01-May-2009,363,0.20203853046595,1796.68699412352
01-Jun-2009,0,0,NaN
01-Jul-2009,18,0.274193548387097,65.6470588235294
01-Aug-2009,170,1,170
01-Sep-2009,109,0.671087962962963,162.422820875444
01-Oct-2009,310,1,310
01-Nov-2009,296,0.596273148148148,496.41678636593
01-Dec-2009,569,0.838709677419355,678.423076923077
01-Jan-2010,549,0.950179211469534,577.785741229725
01-Feb-2010,406,1,406
01-Mar-2010,443,0.708736559139785,625.055945382135
01-Apr-2010,513,0.679166666666667,755.337423312883
01-May-2010,1800,1,1800
01-Jun-2010,757,1,757
01-Jul-2010,531,0.999395161290323,531.321363728061
01-Aug-2010,191,1,191
01-Sep-2010,166,1,166
01-Oct-2010,559,1,559
01-Nov-2010,132,0.245763888888889,537.100875953659
01-Dec-2010,441,0.811827956989247,543.218543046358
01-Jan-2011,265,1,265
01-Feb-2011,605,1,605
01-Mar-2011,669,1,669
01-Apr-2011,542,0.55837962962963,970.665782273443
01-May-2011,569,0.654569892473118,869.273100616016
01-Jun-2011,662,1,662
01-Jul-2011,198,1,198
01-Aug-2011,134,1,134
01-Sep-2011,196,1,196
01-Oct-2011,642,0.891621863799283,720.036179086478
01-Nov-2011,911,1,911
01-Dec-2011,908,1,908
01-Jan-2012,985,1,985
01-Feb-2012,602,1,602
01-Mar-2012,100,0.144937275985663,689.953632148377
01-Apr-2012,0,0,NaN
01-May-2012,281,0.597289426523298,470.45868806961
01-Jun-2012,443,1,443
01-Jul-2012,188,0.661895161290323,284.032896740786
01-Aug-2012,521,0.706989247311828,736.927756653992
01-Sep-2012,711,1,711
01-Oct-2012,1204,1,1204
01-Nov-2012,637,1,637
01-Dec-2012,1001,0.997155017921147,1003.85595219374
01-Jan-2013,474,1,474
01-Feb-2013,227,1,227
01-Mar-2013,312,1,312
01-Apr-2013,660,0.996967592592593,662.007476375119
