bin,Zc_pres,perc_eff,Zc_pres_eff_adj
01-Jan-2009,198,0.580645161290323,341
01-Feb-2009,230,1,230
01-Mar-2009,382,0.839135304659498,455.230518700446
01-Apr-2009,1010,1,1010
01-May-2009,440,0.609296594982079,722.144196477812
01-Jun-2009,702,1,702
01-Jul-2009,414,0.677329749103943,611.223706839529
01-Aug-2009,285,1,285
01-Sep-2009,119,0.632222222222222,188.224956063269
01-Oct-2009,452,1,452
01-Nov-2009,211,0.612939814814815,344.24260734922
01-Dec-2009,603,0.82258064516129,733.058823529412
01-Jan-2010,485,0.850694444444444,570.122448979592
01-Feb-2010,412,1,412
01-Mar-2010,775,0.814762544802867,951.197382530038
01-Apr-2010,249,0.6625,375.849056603774
01-May-2010,276,1,276
01-Jun-2010,337,1,337
01-Jul-2010,196,0.849820788530466,230.636862083509
01-Aug-2010,82,1,82
01-Sep-2010,30,1,30
01-Oct-2010,0,1,0
01-Nov-2010,0,0.265902777777778,0
01-Dec-2010,104,0.80241935483871,129.608040201005
01-Jan-2011,97,1,97
01-Feb-2011,29,1,29
01-Mar-2011,127,1,127
01-Apr-2011,22,0.294814814814815,74.6231155778895
01-May-2011,114,0.623655913978495,182.793103448276
01-Jun-2011,237,1,237
01-Jul-2011,158,1,158
01-Aug-2011,36,1,36
01-Sep-2011,18,0.743101851851852,24.2227898573298
01-Oct-2011,30,0.516129032258065,58.125
01-Nov-2011,44,1,44
01-Dec-2011,143,1,143
01-Jan-2012,578,1,578
01-Feb-2012,56,0.438745210727969,127.636720882
01-Mar-2012,0,0.225806451612903,0
01-Apr-2012,333,1,333
01-May-2012,243,1,243
01-Jun-2012,127,1,127
01-Jul-2012,85,1,85
01-Aug-2012,7,0.849686379928315,8.23833377273926
01-Sep-2012,38,1,38
01-Oct-2012,270,1,270
01-Nov-2012,80,1,80
01-Dec-2012,183,0.537208781362007,340.649680997456
01-Jan-2013,241,1,241
01-Feb-2013,40,1,40
01-Mar-2013,59,1,59
01-Apr-2013,280,1,280
01-May-2013,553,0.951971326164875,580.89984939759
01-Jun-2013,95,1,95
01-Jul-2013,258,1,258
01-Aug-2013,103,1,103
01-Sep-2013,0,0.341319444444444,0
01-Oct-2013,0,0,NaN
01-Nov-2013,0,0,NaN
01-Dec-2013,0,0,NaN
01-Jan-2014,0,0,NaN
01-Feb-2014,0,0,NaN
01-Mar-2014,0,0,NaN
01-Apr-2014,299,0.894467592592593,334.277063223002
01-May-2014,60,1,60
01-Jun-2014,107,1,107
01-Jul-2014,120,0.992652329749104,120.888246975988
01-Aug-2014,92,1,92
01-Sep-2014,46,1,46
01-Oct-2014,313,1,313
01-Nov-2014,314,0.994421296296296,315.761540073093
01-Dec-2014,449,1,449
01-Jan-2015,107,1,107
01-Feb-2015,5,0.143080357142857,34.9453978159126
01-Mar-2015,0,0,NaN
01-Apr-2015,0,0,NaN
01-May-2015,0,0,NaN
01-Jun-2015,301,0.966666666666667,311.379310344828
01-Jul-2015,491,1,491
01-Aug-2015,47,1,47
01-Sep-2015,70,1,70
01-Oct-2015,107,0.995833333333333,107.44769874477
01-Nov-2015,107,0.997662037037037,107.250748277222
01-Dec-2015,416,1,416
01-Jan-2016,275,1,275
01-Feb-2016,237,1,237
01-Mar-2016,95,1,95
01-Apr-2016,33,0.586527777777778,56.2633199147526
01-May-2016,0,0,NaN
01-Jun-2016,0,0,NaN
01-Jul-2016,280,0.806451612903226,347.2
01-Aug-2016,90,1,90
01-Sep-2016,83,1,83
01-Oct-2016,56,1,56
01-Nov-2016,203,0.991643518518519,204.710660846425
01-Dec-2016,728,1,728
01-Jan-2017,653,1,653
01-Feb-2017,403,0.995585317460317,404.787006128245
01-Mar-2017,129,1,129
01-Apr-2017,110,1,110
01-May-2017,142,1,142
01-Jun-2017,230,0.994467592592593,231.279532599334
01-Jul-2017,394,1,394
01-Aug-2017,48,1,48
01-Sep-2017,89,1,89
01-Oct-2017,4,1,4
01-Nov-2017,92,1,92
01-Dec-2017,212,0.644735663082437,328.816927834335
01-Jan-2018,0,0,NaN
01-Feb-2018,72,0.892857142857143,80.64
01-Mar-2018,91,1,91
01-Apr-2018,376,1,376
01-May-2018,371,1,371
01-Jun-2018,199,1,199
01-Jul-2018,187,0.995654121863799,187.816226432075
01-Aug-2018,21,1,21
01-Sep-2018,143,1,143
01-Oct-2018,112,1,112
01-Nov-2018,148,0.987916666666667,149.810206663855
01-Dec-2018,343,1,343
01-Jan-2019,459,0.979614695340502,468.551566430368
01-Feb-2019,117,1,117
01-Mar-2019,69,1,69
01-Apr-2019,106,1,106
01-May-2019,287,0.995519713261649,288.291629162916
01-Jun-2019,275,1,275
01-Jul-2019,205,1,205
01-Aug-2019,136,1,136
01-Sep-2019,138,1,138
01-Oct-2019,109,1,109
01-Nov-2019,282,0.934606481481482,301.731269349845
01-Dec-2019,468,1,468
01-Jan-2020,402,1,402
01-Feb-2020,236,1,236
01-Mar-2020,123,1,123
01-Apr-2020,150,0.99962962962963,150.055576139311
01-May-2020,73,1,73
01-Jun-2020,156,1,156
01-Jul-2020,172,1,172
01-Aug-2020,291,1,291
01-Sep-2020,262,1,262
