startSnipped,endSnipped,startEnc,endEnc,encDur,encN,startNumEnc,endNumEnc
17-Apr-2023 01:00:27,17-Apr-2023 03:13:47,17-Apr-2023 02:00:27,17-Apr-2023 02:13:47,00:13:20,1,738993.083651337,738993.092915774
17-Apr-2023 09:48:00,17-Apr-2023 12:21:03,17-Apr-2023 10:48:00,17-Apr-2023 11:21:03,00:33:02,3,738993.450005608,738993.472952814
17-Apr-2023 13:12:21,17-Apr-2023 15:38:16,17-Apr-2023 14:12:21,17-Apr-2023 14:38:16,00:25:55,4,738993.591916194,738993.609918958
17-Apr-2023 15:23:16,17-Apr-2023 18:09:27,17-Apr-2023 16:23:16,17-Apr-2023 17:09:27,00:46:10,5,738993.68283251,738993.714898228
17-Apr-2023 17:40:19,17-Apr-2023 20:09:32,17-Apr-2023 18:40:19,17-Apr-2023 19:09:32,00:29:13,6,738993.777999049,738993.798298509
17-Apr-2023 20:00:01,17-Apr-2023 22:30:07,17-Apr-2023 21:00:01,17-Apr-2023 21:30:07,00:30:05,7,738993.875017576,738993.895916272
18-Apr-2023 06:38:34,18-Apr-2023 09:08:41,18-Apr-2023 07:38:34,18-Apr-2023 08:08:41,00:30:06,8,738994.318458951,738994.339371012
18-Apr-2023 09:31:06,18-Apr-2023 11:54:54,18-Apr-2023 10:31:06,18-Apr-2023 10:54:54,00:23:48,9,738994.43826513,738994.454799461
18-Apr-2023 13:20:13,18-Apr-2023 15:45:33,18-Apr-2023 14:20:13,18-Apr-2023 14:45:33,00:25:20,10,738994.597380632,738994.614976664
18-Apr-2023 19:43:48,18-Apr-2023 21:54:31,18-Apr-2023 20:43:48,18-Apr-2023 20:54:31,00:10:43,11,738994.863753719,738994.871202052
18-Apr-2023 22:59:34,19-Apr-2023 01:49:59,18-Apr-2023 23:59:34,19-Apr-2023 00:49:59,00:50:24,12,738994.99970661,738995.034717867
19-Apr-2023 00:20:04,19-Apr-2023 02:34:34,19-Apr-2023 01:20:04,19-Apr-2023 01:34:34,00:14:30,13,738995.055606645,738995.065680989
19-Apr-2023 02:56:15,19-Apr-2023 05:18:38,19-Apr-2023 03:56:15,19-Apr-2023 04:18:38,00:22:22,14,738995.164073989,738995.179608791
19-Apr-2023 04:41:12,19-Apr-2023 07:13:11,19-Apr-2023 05:41:12,19-Apr-2023 06:13:11,00:31:58,15,738995.236949536,738995.259159053
19-Apr-2023 12:45:35,19-Apr-2023 15:09:08,19-Apr-2023 13:45:35,19-Apr-2023 14:09:08,00:23:32,16,738995.573330662,738995.589678658
19-Apr-2023 15:26:25,19-Apr-2023 18:03:50,19-Apr-2023 16:26:25,19-Apr-2023 17:03:50,00:37:25,17,738995.685019516,738995.711004596
19-Apr-2023 19:09:14,19-Apr-2023 21:20:33,19-Apr-2023 20:09:14,19-Apr-2023 20:20:33,00:11:19,18,738995.839749398,738995.847614697
19-Apr-2023 20:40:02,19-Apr-2023 23:18:07,19-Apr-2023 21:40:02,19-Apr-2023 22:18:07,00:38:04,19,738995.90281212,738995.92925346
20-Apr-2023 00:58:31,20-Apr-2023 03:34:21,20-Apr-2023 01:58:31,20-Apr-2023 02:34:21,00:35:50,20,738996.08230717,738996.107194055
20-Apr-2023 04:50:33,20-Apr-2023 07:01:44,20-Apr-2023 05:50:33,20-Apr-2023 06:01:44,00:11:10,21,738996.243442647,738996.251205209
20-Apr-2023 10:00:01,20-Apr-2023 13:05:00,20-Apr-2023 11:00:01,20-Apr-2023 12:05:00,01:04:58,22,738996.458349693,738996.503473419
20-Apr-2023 11:48:38,20-Apr-2023 14:02:53,20-Apr-2023 12:48:38,20-Apr-2023 13:02:53,00:14:14,23,738996.533778737,738996.543672708
20-Apr-2023 18:16:38,20-Apr-2023 21:07:49,20-Apr-2023 19:16:38,20-Apr-2023 20:07:49,00:51:11,24,738996.803223106,738996.838768815
20-Apr-2023 21:38:48,21-Apr-2023 00:08:05,20-Apr-2023 22:38:48,20-Apr-2023 23:08:05,00:29:17,25,738996.943612695,738996.963950976
21-Apr-2023 00:49:22,21-Apr-2023 03:38:53,21-Apr-2023 01:49:22,21-Apr-2023 02:38:53,00:49:30,26,738997.075958449,738997.110341649
21-Apr-2023 07:28:03,21-Apr-2023 09:59:54,21-Apr-2023 08:28:03,21-Apr-2023 08:59:54,00:31:50,27,738997.352820725,738997.374936332
21-Apr-2023 11:19:55,21-Apr-2023 13:36:12,21-Apr-2023 12:19:55,21-Apr-2023 12:36:12,00:16:16,28,738997.513840911,738997.525145992
21-Apr-2023 14:36:53,21-Apr-2023 17:21:59,21-Apr-2023 15:36:53,21-Apr-2023 16:21:59,00:45:06,29,738997.650619284,738997.681940706
21-Apr-2023 23:28:20,22-Apr-2023 01:39:54,22-Apr-2023 00:28:20,22-Apr-2023 00:39:54,00:11:34,30,738998.019680781,738998.027719816
