Date,Month,count
2016-05-19,5,10
2016-05-20,5,10
2016-05-27,5,10
2016-05-30,5,10
2016-05-21,5,10
2016-05-23,5,10
2016-05-18,5,10
2016-05-28,5,10
2016-05-29,5,10
2016-04-06,4,2
2016-04-10,4,2
2016-05-15,5,10
2016-03-18,3,2
2016-03-21,3,2
2017-08-21,8,3
2017-09-08,9,4
2017-11-10,11,2
2017-07-07,7,1
2017-08-23,8,3
2017-08-24,8,3
2017-09-06,9,4
2017-09-10,9,4
2017-09-25,9,4
2017-10-03,10,1
2017-11-09,11,2
2018-08-27,8,4
2018-09-07,9,7
2018-09-08,9,7
2018-09-11,9,7
2018-09-12,9,7
2018-09-25,9,7
2018-10-30,10,1
2018-08-24,8,4
2018-08-30,8,4
2018-09-04,9,7
2018-04-13,4,2
2018-04-15,4,2
2018-08-23,8,4
2018-09-27,9,7
2018-05-16,5,2
2018-05-21,5,2
2015-08-20,8,2
2015-10-12,10,6
2015-10-13,10,6
2015-10-21,10,6
2015-08-21,8,2
2015-09-04,9,3
2015-10-08,10,6
2015-10-16,10,6
2015-09-07,9,3
2015-09-21,9,3
2015-10-14,10,6
