date,effort_hrs,effort_pct,year,month,present
2021-10-10,24,1,2021,10,TRUE
2021-10-11,24,1,2021,10,TRUE
2021-10-12,24,1,2021,10,FALSE
2021-10-13,24,1,2021,10,FALSE
2021-10-14,24,1,2021,10,FALSE
2021-10-15,24,1,2021,10,FALSE
2021-10-16,24,1,2021,10,FALSE
2021-10-17,24,1,2021,10,FALSE
2021-10-18,24,1,2021,10,FALSE
2021-10-19,24,1,2021,10,FALSE
2021-10-20,24,1,2021,10,FALSE
2021-10-21,24,1,2021,10,TRUE
2021-10-22,24,1,2021,10,TRUE
2021-10-23,24,1,2021,10,TRUE
2021-10-24,24,1,2021,10,TRUE
2021-10-25,24,1,2021,10,TRUE
2021-10-26,24,1,2021,10,TRUE
2021-10-27,24,1,2021,10,TRUE
2021-10-28,24,1,2021,10,TRUE
2021-10-29,24,1,2021,10,TRUE
2021-10-30,24,1,2021,10,FALSE
2021-10-31,24,1,2021,10,FALSE
2021-11-01,24,1,2021,11,TRUE
2021-11-02,24,1,2021,11,FALSE
2021-11-03,24,1,2021,11,FALSE
2021-11-04,24,1,2021,11,FALSE
2021-11-05,24,1,2021,11,FALSE
2021-11-06,24,1,2021,11,TRUE
2021-11-07,24,1,2021,11,TRUE
2021-11-08,24,1,2021,11,TRUE
2021-11-09,24,1,2021,11,TRUE
2021-11-10,24,1,2021,11,TRUE
2021-11-11,24,1,2021,11,TRUE
2021-11-12,24,1,2021,11,FALSE
2021-11-13,24,1,2021,11,TRUE
2021-11-14,24,1,2021,11,FALSE
2021-11-15,24,1,2021,11,TRUE
2021-11-16,24,1,2021,11,FALSE
2021-11-17,24,1,2021,11,TRUE
2021-11-18,24,1,2021,11,TRUE
2021-11-19,24,1,2021,11,TRUE
2021-11-20,24,1,2021,11,TRUE
2021-11-21,24,1,2021,11,TRUE
2021-11-22,24,1,2021,11,TRUE
2021-11-23,24,1,2021,11,TRUE
2021-11-24,24,1,2021,11,FALSE
2021-11-25,24,1,2021,11,TRUE
2021-11-26,24,1,2021,11,FALSE
2021-11-27,24,1,2021,11,FALSE
2021-11-28,24,1,2021,11,FALSE
2021-11-29,24,1,2021,11,TRUE
2021-11-30,24,1,2021,11,FALSE
2021-12-01,24,1,2021,12,TRUE
2021-12-02,24,1,2021,12,FALSE
2021-12-03,24,1,2021,12,TRUE
2021-12-04,24,1,2021,12,TRUE
2021-12-05,24,1,2021,12,TRUE
2021-12-06,24,1,2021,12,TRUE
2021-12-07,24,1,2021,12,TRUE
2021-12-08,24,1,2021,12,TRUE
2021-12-09,24,1,2021,12,TRUE
2021-12-10,24,1,2021,12,TRUE
2021-12-11,24,1,2021,12,TRUE
2021-12-12,24,1,2021,12,TRUE
2021-12-13,24,1,2021,12,FALSE
2021-12-14,24,1,2021,12,FALSE
2021-12-15,24,1,2021,12,TRUE
2021-12-16,24,1,2021,12,TRUE
2021-12-17,24,1,2021,12,TRUE
2021-12-18,24,1,2021,12,TRUE
2021-12-19,24,1,2021,12,TRUE
2021-12-20,24,1,2021,12,FALSE
2021-12-21,24,1,2021,12,FALSE
2021-12-22,24,1,2021,12,TRUE
2021-12-23,24,1,2021,12,TRUE
2021-12-24,24,1,2021,12,FALSE
2021-12-25,24,1,2021,12,FALSE
