bin,Zc_pres,perc_eff,Zc_pres_eff_adj,site,date,month,year
01-Jul-2007,300,0.258064516129032,1162.5,H,2007-07-01,7,2007
01-Aug-2007,524,1,524,H,2007-08-01,8,2007
01-Sep-2007,5,0.508773148148148,9.82756267346103,H,2007-09-01,9,2007
01-Jun-2008,459,0.866666666666667,529.615384615385,H,2008-06-01,6,2008
01-Jul-2008,162,0.911715949820789,177.686921054571,H,2008-07-01,7,2008
01-Aug-2008,157,0.887096774193548,176.981818181818,H,2008-08-01,8,2008
01-Sep-2008,114,0.887569444444444,128.440654095924,H,2008-09-01,9,2008
01-Oct-2008,199,0.354838709677419,560.818181818182,H,2008-10-01,10,2008
01-Nov-2008,458,1,458,H,2008-11-01,11,2008
01-Dec-2008,293,0.76785394265233,381.582985675526,H,2008-12-01,12,2008
01-Jan-2009,385,0.993525985663082,387.508737119794,H,2009-01-01,1,2009
01-Feb-2009,363,1,363,H,2009-02-01,2,2009
01-Mar-2009,565,0.81135752688172,696.363786962644,H,2009-03-01,3,2009
01-Apr-2009,811,1,811,H,2009-04-01,4,2009
01-May-2009,363,0.20203853046595,1796.68699412352,H,2009-05-01,5,2009
01-Jul-2009,18,0.274193548387097,65.6470588235294,H,2009-07-01,7,2009
01-Aug-2009,170,1,170,H,2009-08-01,8,2009
01-Sep-2009,109,0.671087962962963,162.422820875444,H,2009-09-01,9,2009
01-Oct-2009,310,1,310,H,2009-10-01,10,2009
01-Nov-2009,296,0.596273148148148,496.41678636593,H,2009-11-01,11,2009
01-Dec-2009,569,0.838709677419355,678.423076923077,H,2009-12-01,12,2009
01-Jan-2010,549,0.950179211469534,577.785741229725,H,2010-01-01,1,2010
01-Feb-2010,406,1,406,H,2010-02-01,2,2010
01-Mar-2010,443,0.708736559139785,625.055945382135,H,2010-03-01,3,2010
01-Apr-2010,513,0.679166666666667,755.337423312883,H,2010-04-01,4,2010
01-May-2010,1800,1,1800,H,2010-05-01,5,2010
01-Jun-2010,757,1,757,H,2010-06-01,6,2010
01-Jul-2010,531,0.999395161290323,531.321363728061,H,2010-07-01,7,2010
01-Aug-2010,191,1,191,H,2010-08-01,8,2010
01-Sep-2010,166,1,166,H,2010-09-01,9,2010
01-Oct-2010,559,1,559,H,2010-10-01,10,2010
01-Nov-2010,132,0.245763888888889,537.100875953659,H,2010-11-01,11,2010
01-Dec-2010,441,0.811827956989247,543.218543046358,H,2010-12-01,12,2010
01-Jan-2011,265,1,265,H,2011-01-01,1,2011
01-Feb-2011,605,1,605,H,2011-02-01,2,2011
01-Mar-2011,669,1,669,H,2011-03-01,3,2011
01-Apr-2011,542,0.55837962962963,970.665782273443,H,2011-04-01,4,2011
01-May-2011,569,0.654569892473118,869.273100616016,H,2011-05-01,5,2011
01-Jun-2011,662,1,662,H,2011-06-01,6,2011
01-Jul-2011,198,1,198,H,2011-07-01,7,2011
